DIV N,XXXX-CF-XXXXXXX,CRIM DIV N - JUDGE CRAWFORD,2,,,NET01,2019-04-25 09:58:44.000,SA,,STATE OF FLORIDA,,
DIV S,XXXX-DR-XXXXXXX,FAMILY DIV S - JUDGE TAYLOR,2,,,NET01,2020-11-17 10:33:35.000,SA,,,,
DIV V,05-XXXX-CP-XXXXXXX-XXXX-XX,PROBATE DIV V - JUDGE REINMAN,3,,,NET01,2021-07-28 10:11:05.000,SA,,,,
DIV(B) G,XXXX-DR-XXXXXXX,FAMILY DIV G - JUDGE SEGAL,2,,,NET01,2021-10-11 17:11:37.000,SA,,,,
DIV_11,05-XXXX-CC-XXXXXXX-XXXX-XX,COUNTY DIV 11 - JUDGE ATKIN,3,,,NET01,2021-01-28 11:19:56.000,SA,,,,
FAMI B,XXXX-CA-XXXXXXX,JUDGE MALONEY,2,,,NET01,2021-12-09 11:27:08.000,SA,,,,
JUV B,XXXX-CJ-XXXXXXX,JUVENILE DIV B - JUDGE GOERNER,2,,,NET01,2020-09-24 10:51:22.000,SA,,,,
JUV P,XXXX-CJ-XXXXXXX,CIVIL DIV W - JUDGE STACY,2,,,NET01,2018-01-04 09:38:42.000,SA,,,,
ML,XXXX-DR-XXXXXXX,GM MARCIA LANGLOIS,2,,,NET01,2020-04-27 17:37:03.000,SA,,,,
MN,XXXX-DR-XXXXXXX,GM MARY NARDI,2,,,NET01,2020-04-28 08:16:25.000,SA,,,,
TEST,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,INFOCOM TEST COURT,5,,,NET01,2007-09-27 22:18:01.000,INFOCOM,,,,
